STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY, CA US",01/01/2018,0,65,34,42
USC00042319,"DEATH VALLEY, CA US",02/01/2018,0,66,38,46
USC00042319,"DEATH VALLEY, CA US",03/01/2018,0,69,34,54
USC00042319,"DEATH VALLEY, CA US",04/01/2018,0,69,39,48
USC00042319,"DEATH VALLEY, CA US",05/01/2018,0,74,40,57
USC00042319,"DEATH VALLEY, CA US",06/01/2018,0,74,47,65
USC00042319,"DEATH VALLEY, CA US",07/01/2018,0,77,54,60
USC00042319,"DEATH VALLEY, CA US",08/01/2018,0.07,62,52,52
USC00042319,"DEATH VALLEY, CA US",09/01/2018,0.4,60,51,51
USC00042319,"DEATH VALLEY, CA US",10/01/2018,0,64,49,50
USC00042319,"DEATH VALLEY, CA US",11/01/2018,0,67,45,51
USC00042319,"DEATH VALLEY, CA US",12/01/2018,0,68,44,51
USC00042319,"DEATH VALLEY, CA US",13/01/2018,0,73,45,55
USC00042319,"DEATH VALLEY, CA US",14/01/2018,0,72,44,55
USC00042319,"DEATH VALLEY, CA US",15/01/2018,0,73,46,55
USC00042319,"DEATH VALLEY, CA US",16/01/2018,0,70,49,54
USC00042319,"DEATH VALLEY, CA US",17/01/2018,0,71,47,54
USC00042319,"DEATH VALLEY, CA US",18/01/2018,0,71,46,53
USC00042319,"DEATH VALLEY, CA US",19/01/2018,0.01,78,48,56
USC00042319,"DEATH VALLEY, CA US",20/01/2018,0,68,54,56
USC00042319,"DEATH VALLEY, CA US",21/01/2018,0,69,46,47
USC00042319,"DEATH VALLEY, CA US",22/01/2018,0,66,39,45
USC00042319,"DEATH VALLEY, CA US",23/01/2018,0,69,37,46
USC00042319,"DEATH VALLEY, CA US",24/01/2018,0,69,37,47
USC00042319,"DEATH VALLEY, CA US",25/01/2018,0,75,42,52
USC00042319,"DEATH VALLEY, CA US",26/01/2018,0,69,42,53
USC00042319,"DEATH VALLEY, CA US",27/01/2018,0,69,38,50
USC00042319,"DEATH VALLEY, CA US",28/01/2018,0,81,44,56
USC00042319,"DEATH VALLEY, CA US",29/01/2018,0,81,48,61
USC00042319,"DEATH VALLEY, CA US",30/01/2018,0,79,48,60
USC00042319,"DEATH VALLEY, CA US",31/01/2018,0,78,44,53
USC00042319,"DEATH VALLEY, CA US",01/02/2018,0,79,45,52
USC00042319,"DEATH VALLEY, CA US",02/02/2018,0,81,45,59
USC00042319,"DEATH VALLEY, CA US",03/02/2018,0,81,46,59
USC00042319,"DEATH VALLEY, CA US",04/02/2018,0,87,57,61
USC00042319,"DEATH VALLEY, CA US",05/02/2018,0,85,47,63
USC00042319,"DEATH VALLEY, CA US",06/02/2018,0,88,51,70
USC00042319,"DEATH VALLEY, CA US",07/02/2018,0,83,53,60
USC00042319,"DEATH VALLEY, CA US",08/02/2018,0,85,48,57
USC00042319,"DEATH VALLEY, CA US",09/02/2018,0,82,46,55
USC00042319,"DEATH VALLEY, CA US",10/02/2018,0,82,48,62
USC00042319,"DEATH VALLEY, CA US",11/02/2018,0,73,49,56
USC00042319,"DEATH VALLEY, CA US",12/02/2018,0,70,47,57
USC00042319,"DEATH VALLEY, CA US",13/02/2018,0,72,54,57
USC00042319,"DEATH VALLEY, CA US",14/02/2018,0,74,50,58
USC00042319,"DEATH VALLEY, CA US",15/02/2018,0,76,48,63
USC00042319,"DEATH VALLEY, CA US",16/02/2018,0,76,53,56
USC00042319,"DEATH VALLEY, CA US",17/02/2018,0,76,42,55
USC00042319,"DEATH VALLEY, CA US",18/02/2018,0,78,45,50
