STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",01/07/2018,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",02/07/2018,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",03/07/2018,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",04/07/2018,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",05/07/2018,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",06/07/2018,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",07/07/2018,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",08/07/2018,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",09/07/2018,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",10/07/2018,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",11/07/2018,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",12/07/2018,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",13/07/2018,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",14/07/2018,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",15/07/2018,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",16/07/2018,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",17/07/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",18/07/2018,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",19/07/2018,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",20/07/2018,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",21/07/2018,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",22/07/2018,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",23/07/2018,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",24/07/2018,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",25/07/2018,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",26/07/2018,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",27/07/2018,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",28/07/2018,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",29/07/2018,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",30/07/2018,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",31/07/2018,0,,65,56
