STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",01/01/2018,0.45,,48,38
USW00025333,"SITKA AIRPORT, AK US",02/01/2018,0.56,,48,43
USW00025333,"SITKA AIRPORT, AK US",03/01/2018,0.4,,46,41
USW00025333,"SITKA AIRPORT, AK US",04/01/2018,0.99,,42,40
USW00025333,"SITKA AIRPORT, AK US",05/01/2018,0.25,,46,38
USW00025333,"SITKA AIRPORT, AK US",06/01/2018,0.46,,44,37
USW00025333,"SITKA AIRPORT, AK US",07/01/2018,0.01,,39,30
USW00025333,"SITKA AIRPORT, AK US",08/01/2018,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",09/01/2018,0.13,,34,25
USW00025333,"SITKA AIRPORT, AK US",10/01/2018,0,,28,24
USW00025333,"SITKA AIRPORT, AK US",11/01/2018,0,,34,23
USW00025333,"SITKA AIRPORT, AK US",12/01/2018,0.18,,41,33
USW00025333,"SITKA AIRPORT, AK US",13/01/2018,0.05,,53,41
USW00025333,"SITKA AIRPORT, AK US",14/01/2018,0.07,,63,52
USW00025333,"SITKA AIRPORT, AK US",15/01/2018,0.01,,60,52
USW00025333,"SITKA AIRPORT, AK US",16/01/2018,0.4,,54,41
USW00025333,"SITKA AIRPORT, AK US",17/01/2018,0.01,,47,36
USW00025333,"SITKA AIRPORT, AK US",18/01/2018,0,,46,35
USW00025333,"SITKA AIRPORT, AK US",19/01/2018,0,,42,37
USW00025333,"SITKA AIRPORT, AK US",20/01/2018,0,,45,39
USW00025333,"SITKA AIRPORT, AK US",21/01/2018,0,,43,36
USW00025333,"SITKA AIRPORT, AK US",22/01/2018,0.42,,41,33
USW00025333,"SITKA AIRPORT, AK US",23/01/2018,0,,41,33
USW00025333,"SITKA AIRPORT, AK US",24/01/2018,0.04,,40,34
USW00025333,"SITKA AIRPORT, AK US",25/01/2018,0,,40,31
USW00025333,"SITKA AIRPORT, AK US",26/01/2018,0.16,,41,31
USW00025333,"SITKA AIRPORT, AK US",27/01/2018,0,,39,29
USW00025333,"SITKA AIRPORT, AK US",28/01/2018,0,,40,34
USW00025333,"SITKA AIRPORT, AK US",29/01/2018,0,,40,36
USW00025333,"SITKA AIRPORT, AK US",30/01/2018,0,,39,31
USW00025333,"SITKA AIRPORT, AK US",31/01/2018,0,,36,29
USW00025333,"SITKA AIRPORT, AK US",01/02/2018,0,,35,31
USW00025333,"SITKA AIRPORT, AK US",02/02/2018,0,,35,26
USW00025333,"SITKA AIRPORT, AK US",03/02/2018,0,,34,24
USW00025333,"SITKA AIRPORT, AK US",04/02/2018,0,,42,28
USW00025333,"SITKA AIRPORT, AK US",05/02/2018,0,,41,28
USW00025333,"SITKA AIRPORT, AK US",06/02/2018,0.1,,39,33
USW00025333,"SITKA AIRPORT, AK US",07/02/2018,0,,42,31
USW00025333,"SITKA AIRPORT, AK US",08/02/2018,0,,39,28
USW00025333,"SITKA AIRPORT, AK US",09/02/2018,0,,37,25
USW00025333,"SITKA AIRPORT, AK US",10/02/2018,0,,37,24
USW00025333,"SITKA AIRPORT, AK US",11/02/2018,0,,40,32
USW00025333,"SITKA AIRPORT, AK US",12/02/2018,1.24,,43,35
USW00025333,"SITKA AIRPORT, AK US",13/02/2018,0.37,,41,31
USW00025333,"SITKA AIRPORT, AK US",14/02/2018,0,,40,29
USW00025333,"SITKA AIRPORT, AK US",15/02/2018,0.43,,38,33
USW00025333,"SITKA AIRPORT, AK US",16/02/2018,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",17/02/2018,0,,37,30
USW00025333,"SITKA AIRPORT, AK US",18/02/2018,0,,39,25
USW00025333,"SITKA AIRPORT, AK US",19/02/2018,0.03,,39,29
USW00025333,"SITKA AIRPORT, AK US",20/02/2018,0.03,,38,28
USW00025333,"SITKA AIRPORT, AK US",21/02/2018,0,,41,29
USW00025333,"SITKA AIRPORT, AK US",22/02/2018,0.46,,42,34
USW00025333,"SITKA AIRPORT, AK US",23/02/2018,0.24,,41,30
USW00025333,"SITKA AIRPORT, AK US",24/02/2018,0.58,,39,30
USW00025333,"SITKA AIRPORT, AK US",25/02/2018,0.02,,38,32
USW00025333,"SITKA AIRPORT, AK US",26/02/2018,0.45,,42,33
USW00025333,"SITKA AIRPORT, AK US",27/02/2018,0.32,,39,32
USW00025333,"SITKA AIRPORT, AK US",28/02/2018,0.6,,40,30
USW00025333,"SITKA AIRPORT, AK US",01/03/2018,0,,35,27
USW00025333,"SITKA AIRPORT, AK US",02/03/2018,0,,40,26
USW00025333,"SITKA AIRPORT, AK US",03/03/2018,0,,41,25
USW00025333,"SITKA AIRPORT, AK US",04/03/2018,0,,40,27
USW00025333,"SITKA AIRPORT, AK US",05/03/2018,0,,39,25
USW00025333,"SITKA AIRPORT, AK US",06/03/2018,0,,39,31
USW00025333,"SITKA AIRPORT, AK US",07/03/2018,0.31,,40,32
USW00025333,"SITKA AIRPORT, AK US",08/03/2018,0.24,,39,33
USW00025333,"SITKA AIRPORT, AK US",09/03/2018,0.42,,42,33
USW00025333,"SITKA AIRPORT, AK US",10/03/2018,0.48,,43,34
USW00025333,"SITKA AIRPORT, AK US",11/03/2018,0.51,,44,34
USW00025333,"SITKA AIRPORT, AK US",12/03/2018,0.01,,54,36
USW00025333,"SITKA AIRPORT, AK US",13/03/2018,0,,58,39
USW00025333,"SITKA AIRPORT, AK US",14/03/2018,0,,54,42
USW00025333,"SITKA AIRPORT, AK US",15/03/2018,0,,45,36
USW00025333,"SITKA AIRPORT, AK US",16/03/2018,0,,45,36
USW00025333,"SITKA AIRPORT, AK US",17/03/2018,0,,45,34
USW00025333,"SITKA AIRPORT, AK US",18/03/2018,0.02,,43,33
USW00025333,"SITKA AIRPORT, AK US",19/03/2018,0.9,,41,36
USW00025333,"SITKA AIRPORT, AK US",20/03/2018,0.17,,41,33
USW00025333,"SITKA AIRPORT, AK US",21/03/2018,0,,42,30
USW00025333,"SITKA AIRPORT, AK US",22/03/2018,0,,46,34
USW00025333,"SITKA AIRPORT, AK US",23/03/2018,0,,42,31
USW00025333,"SITKA AIRPORT, AK US",24/03/2018,0.01,,42,28
USW00025333,"SITKA AIRPORT, AK US",25/03/2018,0,,41,32
USW00025333,"SITKA AIRPORT, AK US",26/03/2018,0.49,,42,31
USW00025333,"SITKA AIRPORT, AK US",27/03/2018,0.22,,43,38
USW00025333,"SITKA AIRPORT, AK US",28/03/2018,0.07,,43,36
USW00025333,"SITKA AIRPORT, AK US",29/03/2018,0,,46,33
USW00025333,"SITKA AIRPORT, AK US",30/03/2018,0.05,,45,28
USW00025333,"SITKA AIRPORT, AK US",31/03/2018,0,,43,33
USW00025333,"SITKA AIRPORT, AK US",01/04/2018,0,,45,31
USW00025333,"SITKA AIRPORT, AK US",02/04/2018,0,,41,30
USW00025333,"SITKA AIRPORT, AK US",03/04/2018,0,,43,28
USW00025333,"SITKA AIRPORT, AK US",04/04/2018,0,,45,31
USW00025333,"SITKA AIRPORT, AK US",05/04/2018,0,,52,38
USW00025333,"SITKA AIRPORT, AK US",06/04/2018,0,,51,45
USW00025333,"SITKA AIRPORT, AK US",07/04/2018,0,,59,38
USW00025333,"SITKA AIRPORT, AK US",08/04/2018,0.02,,52,40
USW00025333,"SITKA AIRPORT, AK US",09/04/2018,0.01,,54,43
USW00025333,"SITKA AIRPORT, AK US",10/04/2018,0,,57,45
USW00025333,"SITKA AIRPORT, AK US",11/04/2018,0,,58,43
USW00025333,"SITKA AIRPORT, AK US",12/04/2018,0.01,,51,43
USW00025333,"SITKA AIRPORT, AK US",13/04/2018,0.01,,51,40
USW00025333,"SITKA AIRPORT, AK US",14/04/2018,0.05,,48,37
USW00025333,"SITKA AIRPORT, AK US",15/04/2018,0,,50,34
USW00025333,"SITKA AIRPORT, AK US",16/04/2018,0,,49,35
USW00025333,"SITKA AIRPORT, AK US",17/04/2018,0,,46,34
USW00025333,"SITKA AIRPORT, AK US",18/04/2018,0.95,,46,41
USW00025333,"SITKA AIRPORT, AK US",19/04/2018,0.85,,45,40
USW00025333,"SITKA AIRPORT, AK US",20/04/2018,0.06,,45,34
